"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",0.0684786672206787,0.00649313631951902,0.055710461943591,0.0812835328729997,1.03598151302468,144.12369653362,242.288758680746
"freqFoam0M150.foam",0.0961531242721675,0.00860035354735862,0.0790731688164904,0.113119108802222,1.02169774711223,196.214682246004,292.721730880643
"freqFoam0M150.hand",0.0147688033513119,0.00834125470195878,-0.00166187994906428,0.031130327335707,1.01875157730536,232.044737973212,407.781930510113
"freqFoam0M150.none",0.085785777990351,0.00882545031733297,0.0685023335783472,0.103567768085843,1.03053976981119,206.833002875187,362.044654910512
"freqFoam150M300.foam",0.0062466543243063,0.00853949810076053,-0.0103732712024319,0.0233795038101033,1.02062519673199,185.682433603332,231.100200938226
"freqFoam150M300.hand",-0.00853958934357671,0.00821067548283659,-0.023938834593223,0.00792360347073628,1.03044022573927,162.028623093494,523.757252974438
"freqFoam150M300.none",0.000358261726243817,0.008448270752682,-0.0164057402396695,0.0166023282809587,1.0265133579252,216.301499316698,364.368825388217
"freqFoam300M450.foam",0.00721283636639247,0.00827623814924327,-0.00825434472457774,0.0241135031488633,1.03282379738719,164.850128060743,414.622788688655
"freqFoam300M450.hand",-0.00440834973794246,0.00838553387485158,-0.0208043576400767,0.0129423148879804,1.02238092761381,251.284247142994,411.07754398127
"freqFoam300M450.none",-0.00610976702713016,0.00817702764126511,-0.0225331426272856,0.00969342427131017,1.02304829801536,213.054747848942,392.739200530642
"dist",-2.22319243779407e-05,5.92324333708275e-05,-0.000137277942156971,9.34027502482356e-05,1.02636542477958,235.941820245036,607.221108942941
"freqFoam0M150.foam:dist",-4.81660259995841e-05,7.7590312767885e-05,-0.000202108585435547,9.87389049546588e-05,1.01397301496868,306.461969926041,655.614820402332
"freqFoam0M150.hand:dist",3.9291459163012e-05,7.77073292049658e-05,-0.000114455730276112,0.000190124704661752,1.01794008315424,339.529722306706,592.872870176242
"freqFoam0M150.none:dist",6.62476808042237e-05,7.96171603074746e-05,-8.57064133450456e-05,0.000232529412586434,1.02207895063257,277.987545772359,464.487283350747
"freqFoam150M300.foam:dist",-3.07634577007171e-08,7.78561894225083e-05,-0.000154892364034805,0.00015374764735463,1.01221627863981,304.728632374018,753.008416619892
"freqFoam150M300.hand:dist",5.98048216249067e-05,7.51283354652683e-05,-9.08664788279345e-05,0.000204985483298052,1.02043640325965,280.482325149696,894.498693770199
"freqFoam150M300.none:dist",4.43149721560375e-05,7.74748005794907e-05,-0.000103078168805485,0.000196941297403838,1.02575732407819,306.532303306612,746.600739973907
"freqFoam300M450.foam:dist",-4.59451276567977e-05,7.44924685749265e-05,-0.000194391146853708,9.82564010804494e-05,1.01974180083222,305.144281457611,1085.31755977898
"freqFoam300M450.hand:dist",4.43275572576493e-05,7.72293684798626e-05,-0.000115505101385915,0.0001963341541476,1.02024876487901,351.306550089008,786.411111735949
"freqFoam300M450.none:dist",1.74933002821019e-05,7.49226594465319e-05,-0.000128782751151454,0.000167134005745805,1.01650457249569,416.980978460368,717.800500099306
